id;name;serial_number;status;purchase_date
1;backing;azure Interactions;Nickel Blues;2023-08-02
2;Arizona disintermediate;Oriental embellish;Licensed Neutrois East;2023-08-01
3;Loan by;interactive Fermium;review Country;2023-08-02
4;from;World;Cyclocross hatchet Fresh;2023-08-02
5;North;onto Coordinator firewall;City;2023-08-01
6;South Tonga;Health;compressing matrix;2023-08-01
7;overriding judgementally;turquoise Male;Kia;2023-08-01
8;Hat Cotton Money;Antimony;sit;2023-08-02
9;lux;Camylle North;radian Forward North;2023-08-01
10;drive male;shoot whenever New;Diesel Alaska Director;2023-08-02
